"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Justyn Ross","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Virgil","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kendric Pryor","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Andre Baccellia","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Austin Trammell","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brandon Johnson","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tay Martin","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Johnny Johnson III","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Justin Shorter","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mitchell Tinsley","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Elijah Cooks","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ryan Miller","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lucky Jackson","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Blair","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dylan Drummond","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cornelius Johnson","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tejhaun Palmer","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
