"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"137","Trey Palmer (TB)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"138","Steven Sims Jr. (HOU)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"139","Robert Woods (HOU)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"140","Tyquan Thornton (NE)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"141","Treylon Burks (TEN)","1","0","0","0.0","0","0.0","48","0.0","0","0.0","0","0.0","0","1","3.7%","0","0","0","0","0","0","0","0","0"
"142","Tyler Scott (CHI)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"143","Parker Washington (JAC)","1","0","0","0.0","0","0.0","-4","0.0","0","0.0","0","0.0","0","1","3.7%","0","1","0","0","0","0","0","0","0"
"144","Bryce Ford-Wheaton (NYG)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"145","Tylan Wallace (BAL)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"146","Nick Westbrook-Ikhine (TEN)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"147","Irvin Charles (NYJ)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"148","Simi Fehoko (LAC)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"149","Troy Franklin (DEN)","1","0","0","0.0","0","0.0","-2","0.0","0","0.0","0","0.0","0","1","3.0%","0","0","0","0","0","0","0","0","0"
